operator,workload,parameters,flagos_time_ms,baseline_time_ms,speedup,flagos_gflops,baseline_gflops
chunk_gated_delta_rule_flag_attn,kimi_k3_decode_num_tokens1,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1",0.1980,0.1873,0.9460,2049.92,2166.66
chunk_gated_delta_rule_flag_attn,kimi_k3_decode_num_tokens8,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=8",0.1980,0.1860,0.9394,2049.91,2181.14
chunk_gated_delta_rule_flag_attn,kimi_k3_decode_num_tokens32,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=32",0.1973,0.1859,0.9422,2057.14,2182.71
chunk_gated_delta_rule_flag_attn,kimi_k3_decode_num_tokens64,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=64",0.1972,0.1860,0.9432,2058.12,2181.70
chunk_gated_delta_rule_flag_attn,kimi_k3_mixed_num_tokens128,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=128",0.3517,0.3264,0.9281,2307.53,2486.31
chunk_gated_delta_rule_flag_attn,kimi_k3_mixed_num_tokens256,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=256",0.2141,0.2164,1.0107,7580.01,7500.85
chunk_gated_delta_rule_flag_attn,kimi_k3_prefill_num_tokens512,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=512",0.3305,0.2860,0.8654,9822.20,11352.75
chunk_gated_delta_rule_flag_attn,kimi_k3_prefill_num_tokens1024,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1024",0.5097,0.4667,0.9156,12739.02,13911.60
chunk_gated_delta_rule_flag_attn,kimi_k3_prefill_num_tokens2048,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=2048",0.8273,0.8547,1.0331,15696.09,15192.55
chunk_gated_delta_rule_flag_attn,kimi_k3_prefill_num_tokens4096,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=4096",1.5397,1.6314,1.0596,16867.73,15919.52
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_decode_num_tokens1,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1",0.1985,0.1992,1.0035,2725.82,2716.78
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_decode_num_tokens8,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=8",0.1974,0.1982,1.0041,2741.03,2729.43
