platform,backend,timestamp,operator,scenario,phase,M,N,K,num_tokens,hidden_size,eps,dtype,source,device_time_mean_ms,device_time_median_ms,device_time_min_ms,device_time_max_ms,device_time_p99_ms,device_time_std_ms,wall_time_mean_ms,accuracy_passed,error
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs1,decode,1,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=1",0.0146,0.0146,0.0143,0.0151,0.0151,0.0001,2.4182,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs2,decode,2,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=2",0.0164,0.0164,0.0162,0.0168,0.0168,0.0001,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs4,decode,4,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=4",0.0163,0.0163,0.016,0.0166,0.0166,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs8,decode,8,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=8",0.0165,0.0165,0.0162,0.0168,0.0168,0.0002,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs16,decode,16,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=16",0.0168,0.0167,0.0164,0.0171,0.0171,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs32,decode,32,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, decode, batch=32",0.017,0.017,0.0168,0.0173,0.0173,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s64,prefill,64,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=64",0.0183,0.0183,0.0181,0.0186,0.0186,0.0001,2.419,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s128,prefill,128,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=128",0.0206,0.0205,0.0204,0.021,0.021,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s256,prefill,256,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=256",0.0246,0.0245,0.0242,0.0259,0.0259,0.0002,2.4188,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s512,prefill,512,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=512",0.0367,0.0366,0.0349,0.0385,0.0385,0.0006,2.4191,True,
