operator,flagos_impl,baseline_impl,flagos_avg_time_ms,baseline_avg_time_ms,avg_speedup,num_workloads,environment
flash_attn_varlen_func,flaggems_vllm.flash_attn_varlen_func,vllm.vllm_flash_attn.flash_attn_interface.flash_attn_varlen_func,2.0387,5.3712,2.0742,2,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
group_gemm,flag_gems.group_mm,torch._grouped_mm (CUTLASS),0.6425,1.1387,1.5096,70,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
fused_moe,flaggems_vllm.outplace_fused_experts,vllm.model_executor.layers.fused_moe.fused_moe.outplace_fused_experts,3.5582,5.1073,1.1002,53,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
chunk_gated_delta_rule_flaggems_vllm,flaggems_vllm.chunk_gated_delta_rule,flaggems_vllm non-TLE fallback (output_final_state=False),0.4401,0.4956,1.0543,20,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
chunk_gated_delta_rule_flag_gems,flag_gems.chunk_gated_delta_rule,flaggems_vllm non-TLE fallback (output_final_state=False),0.2141,0.2137,0.9981,5,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
chunk_gated_delta_rule_flag_attn,flagattention.chunk_gated_delta_rule,flaggems_vllm non-TLE fallback (output_final_state=False),0.4839,0.4974,0.9850,20,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
fused_q_kv_rmsnorm,flaggems_vllm.fused_q_kv_rmsnorm,vllm.v1.attention.ops.deepseek_v4_ops.fused_q_kv_rmsnorm,0.0390,0.0367,0.9534,110,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
unpack_seq_triton,flaggems_vllm.unpack_seq_triton,vllm.model_executor.layers.sparse_attn_indexer.unpack_seq_triton,0.0625,0.0590,0.9437,30,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
pack_seq_triton,flaggems_vllm.pack_seq_triton,vllm.model_executor.layers.sparse_attn_indexer.pack_seq_triton,0.0565,0.0531,0.9395,30,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
combine_topk_swa_indices,flaggems_vllm.combine_topk_swa_indices,vllm.v1.attention.ops.deepseek_v4_ops.combine_topk_swa_indices,0.0575,0.0485,0.8563,6,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,flaggems_vllm.fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,torch.ops._C.fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,0.0778,0.0675,0.6796,70,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
moe_sum,flaggems_vllm.moe_sum,vllm._custom_ops.moe_sum,0.0590,0.0553,0.6496,80,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
top_k_per_row_decode,flaggems_vllm.top_k_per_row_decode,torch.ops._C.top_k_per_row_decode (adapted),0.0331,0.0230,0.6334,70,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
top_k_per_row_prefill,flaggems_vllm.top_k_per_row_prefill,torch.ops._C.top_k_per_row_prefill (adapted),0.0331,0.0227,0.6243,70,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
mhc_pre,flaggems_vllm.mhc_pre,vllm.model_executor.layers.mhc.mhc_pre,0.1292,0.0848,0.5979,50,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
