算子名,框架,厂商软硬件信息,测试用例来源
add_rmsnorm_bias (Fused Add+RMSNorm),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (14 workloads)
bmm (Batch matrix multiply),torch.bmm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900","Llama-3.1-8B, DeepSeek-V3 (11 workloads)"
causal_conv1d_decode (Causal 1D conv decode),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(4 workloads)
causal_conv1d_prefill (Causal 1D conv prefill),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Mamba-2.8B (9 workloads)
flash_linear_attention (Gated Delta Rule),vLLM Triton kernel,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",GLA (9 workloads)
flash_mla (Flash MLA),PyTorch SDPA + Low-rank,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (9 workloads)
flashattention (FlashAttention GQA),F.scaled_dot_product_attention,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Qwen3-30B-A3B (11 workloads)
fp8_einsum (FP8 einsum),torch.einsum,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (9 workloads)
fused_inv_rope_fp8_quant (Inverse RoPE + FP8 quant),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900","DeepSeek-V3, Llama-3.1-8B (9 workloads)"
fused_marlin_moe (Marlin MoE),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (12 workloads)
fused_moe (FP8 MoE with routing),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (8 workloads)
